#BEGIN frameIdx[0], TimeInSec[1], FlagAnimationStart[2], batteryPercent[3], Roll[4], Pitch[5], Yaw[6], Vx[7], Vy[8], Vz[9], Vmag[10], Altitude[11], PosLatitude[12], PosLongitude[13], PosElevation[14]
1247, 14.786, -1, 89, 0.0176627, -0.0189717, 1.75154, 0.127054, 0.0191136, -0.0473499, 0.136931, 0.725, 0, 0, 0
1248, 59.724, -1, 89, 0.0170693, -0.0199491, 1.75132, 0.12045, 0.0149898, -0.035601, 0.126493, 0.723, 0, 0, 0
1249, 102.755, -1, 89, 0.0167203, -0.0203854, 1.7507, 0.113728, 0.011679, -0.025199, 0.11707, 0.722, 0, 0, 0
1250, 145.862, -1, 89, 0.015324, -0.0198095, 1.7509, 0.102972, 0.00672045, -0.017118, 0.104601, 0.72, 0, 0, 0
1251, 189.781, -1, 89, 0.0147655, -0.017558, 1.75004, 0.105162, 0.0030902, -0.0124651, 0.105943, 0.718, 0, 0, 0
1252, 233.053, -1, 89, 0.0137008, -0.0156032, 1.75065, 0.0987181, -0.00600337, -0.0111166, 0.0995233, 0.716, 0, 0, 0
1253, 273.718, -1, 89, 0.0125315, -0.0149051, 1.75032, 0.0900521, -0.01277, -0.00733073, 0.091248, 0.714, 0, 0, 0
1254, 318.467, -1, 89, 0.010821, -0.0137881, 1.75121, 0.0885284, -0.0151519, 0.00188803, 0.0898355, 0.714, 0, 0, 0
1255, 365.7, -1, 89, 0.00916298, -0.0118508, 1.75032, 0.0944778, -0.0163135, 0.00416548, 0.0959663, 0.713, 0, 0, 0
1256, 410.231, -1, 89, 0.00829031, -0.0119904, 1.74962, 0.0973175, -0.0139662, 0.0139692, 0.099302, 0.713, 0, 0, 0
1257, 414.554, -1, 89, 0.00829031, -0.0119904, 1.74962, 0.0973175, -0.0139662, 0.0139692, 0.099302, 0.713, 0, 0, 0
1259, 25.354, -1, 89, 0.00623083, -0.0131249, 1.74868, 0.102622, -0.013519, 0.0149136, 0.104578, 0.712, 0, 0, 0
1261, 28.033, -1, 89, 0.00490438, -0.0141197, 1.74828, 0.10951, -0.0177424, 0.0160403, 0.112092, 0.711, 0, 0, 0
