#BEGIN frameIdx[0], TimeInSec[1], FlagAnimationStart[2], batteryPercent[3], Roll[4], Pitch[5], Yaw[6], Vx[7], Vy[8], Vz[9], Vmag[10], Altitude[11], PosLatitude(ax)[12], PosLongitude(ay)[13], PosElevation(az)[14]
6158, 1.84, -1, 79, 0.000977384, 0.017366, 1.99186, -0.0482159, -0.0300818, 0.0149918, 0.0587745, 0.725, 2032, 2044, 2564
6159, 46.893, -1, 79, 0.00303687, 0.0176976, 1.99128, -0.0495069, -0.0278312, 0.0172902, 0.0593672, 0.724, 2020, 2024, 2516
6160, 93.798, -1, 79, 0.00460767, 0.0182212, 1.99064, -0.0400421, -0.0265114, 0.0127006, 0.0496742, 0.723, 2020, 2012, 2524
6161, 143.06, -1, 79, 0.00443314, 0.0181514, 1.99027, -0.0338551, -0.0324565, 0.0228702, 0.0521789, 0.723, 2028, 2060, 2556
6162, 191.915, -1, 79, 0.00376991, 0.0173835, 1.99023, -0.031786, -0.0413181, 0.0229094, 0.0569418, 0.722, 2068, 2040, 2528
6163, 239.461, -1, 79, 0.00303687, 0.0165283, 1.99044, -0.0251701, -0.0444693, 0.0306706, 0.0595965, 0.724, 2008, 2068, 2556
6164, 281.885, -1, 79, 0.0015708, 0.0150796, 1.99065, -0.0224791, -0.0452983, 0.0314872, 0.0595709, 0.724, 2040, 1988, 2524
6165, 320.147, -1, 79, -0.000750492, 0.0127933, 1.99067, -0.024032, -0.0481892, 0.0362181, 0.064896, 0.726, 2084, 2052, 2504
6166, 357.622, -1, 79, -0.00263545, 0.011013, 1.99097, -0.0182556, -0.0528014, 0.0303213, 0.063566, 0.725, 2012, 2080, 2540
6167, 396.504, -1, 79, -0.00432842, 0.00912807, 1.99126, -0.0161347, -0.0556361, 0.0406855, 0.0707885, 0.728, 2024, 1992, 2540
6168, 434.275, -1, 79, -0.00479966, 0.00736529, 1.99126, -0.0209888, -0.0554772, 0.0416864, 0.0724983, 0.73, 2060, 2004, 2480
6169, 471.996, -1, 79, -0.00520108, 0.00499164, 1.99139, -0.0173816, -0.0487255, 0.0343338, 0.0620895, 0.731, 2064, 2080, 2544
