#BEGIN frameIdx[0], TimeInSec[1], FlagAnimationStart[2], batteryPercent[3], Roll[4], Pitch[5], Yaw[6], Vx[7], Vy[8], Vz[9], Vmag[10], Altitude[11], PosLatitude(ax)[12], PosLongitude(ay)[13], PosElevation(az)[14], DroneTime[15]
4331, 5.268, -1, 65, -0.00495674, -0.011973, 1.92857, 0, -0, -0, 0, 0, 2044, 2036, 2528, 719689621
4332, 43.92, -1, 65, -0.00492183, -0.0119555, 1.92859, 0, -0, -0, 0, 0, 2044, 2036, 2532, 719724381
4333, 89.171, -1, 65, -0.00497419, -0.0119555, 1.92861, 0, -0, -0, 0, 0, 2044, 2032, 2532, 719764511
4334, 128.49, -1, 65, -0.00509636, -0.011973, 1.92859, 0, -0, -0, 0, 0, 2044, 2036, 2532, 719810043
4335, 169.137, -1, 65, -0.005044, -0.0120079, 1.92859, 0, -0, -0, 0, 0, 2044, 2036, 2532, 719854965
4336, 214.712, -1, 65, -0.00497419, -0.0120253, 1.92859, 0, -0, -0, 0, 0, 2044, 2032, 2532, 719895126
4337, 257.694, -1, 65, -0.00497419, -0.0120428, 1.92859, 0, -0, -0, 0, 0, 2044, 2032, 2532, 719930313
4338, 297.775, -1, 65, -0.00509636, -0.0120428, 1.92857, 0, -0, -0, 0, 0, 2044, 2032, 2532, 719975876
4339, 335.637, -1, 65, -0.00513127, -0.0120079, 1.92857, 0, -0, -0, 0, 0, 2044, 2036, 2532, 720010788
4340, 373.917, -1, 65, -0.00511381, -0.0120079, 1.92857, 0, -0, -0, 0, 0, 2044, 2036, 2532, 720050888
4341, 412.089, -1, 65, -0.00509636, -0.0120079, 1.92855, 0, -0, -0, 0, 0, 2044, 2032, 2528, 720095993
4342, 451.292, -1, 65, -0.00521853, -0.0120253, 1.92855, 0, -0, -0, 0, 0, 2044, 2032, 2532, 720126114
4343, 490.54, -1, 65, -0.00528835, -0.0120079, 1.92854, 0, -0, -0, 0, 0, 2040, 2036, 2532, 720171463
4344, 528.675, -1, 65, -0.00527089, -0.0119904, 1.92854, 0, -0, -0, 0, 0, 2044, 2032, 2528, 720211563
4345, 566.619, -1, 65, -0.00520108, -0.0119904, 1.92854, 0, -0, -0, 0, 0, 2044, 2036, 2532, 720246597
4346, 605.72, -1, 65, -0.00514872, -0.0120253, 1.92854, 0, -0, -0, 0, 0, 2044, 2036, 2528, 720291916
4347, 645.866, -1, 65, -0.00509636, -0.0120253, 1.92857, 0, -0, -0, 0, 0, 2044, 2036, 2528, 720321976
4348, 684.011, -1, 65, -0.00500909, -0.0120253, 1.92855, 0, -0, -0, 0, 0, 2044, 2036, 2532, 721464416
4349, 722.24, -1, 65, -0.00499164, -0.0120428, 1.92855, 0, -0, -0, 0, 0, 2044, 2032, 2528, 721494506
4350, 760.283, -1, 65, -0.00500909, -0.0120602, 1.92854, 0, -0, -0, 0, 0, 2044, 2036, 2528, 721544647
4351, 782.289, -1, 65, -0.00499164, -0.0120602, 1.92854, 0, -0, -0, 0, 0, 2044, 2036, 2528, 721559905
4352, 820.994, -1, 65, -0.00495674, -0.0120428, 1.92859, 0, -0, -0, 0, 0, 2044, 2036, 2528, 721610290
4353, 859.213, -1, 65, -0.00493928, -0.0120428, 1.92857, 0, -0, -0, 0, 0, 2044, 2032, 2528, 721640167
4354, 898.135, -1, 65, -0.00507891, -0.0120079, 1.92859, 0, -0, -0, 0, 0, 2044, 2032, 2532, 721680267
4355, 936.449, -1, 65, -0.00516617, -0.0120079, 1.92859, 0, -0, -0, 0, 0, 2048, 2032, 2532, 721715423
4356, 975.191, -1, 65, -0.00518363, -0.0119904, 1.92859, 0, -0, -0, 0, 0, 2044, 2036, 2528, 721755981
4357, 1013.38, -1, 65, -0.00513127, -0.0120079, 1.92861, 0, -0, -0, 0, 0, 2044, 2036, 2532, 721790985
